CompanyName,WineNameVintage,StandName,Lond,product_ref,Note,,SONETTO VINTAGE 10.9.12,SUPPLIER VINTAGE,DAVENTRY VINT CHECK 14.6.12,STOCK 24.8.12,920 Stock 02/08/2012,"On Order
As at 02.08.12",,f10,Stock in Brackmills,Stock on order,FAIR VINTAGE,P9 Promotion,"P9 Was
MB Price","P9 Now
MB Price",P9 Start Date,P9 End Date,"Web Bottle Price
XX.XX.11",New Listing Y_N,On Prom Y_N,Wine By the Case EXC,STILL_ SPK,ORGANIC_ FAIR TRADE_ VEGETARIAN,PRODUCER,COUNTRY,REGION,GRAPE 1,GRAPE 2,GRAPE 3,EXCLUSIVES TO MAIN ESTATE,NORMAL TESCO IN STORE RSP (From CUBE),NORMAL TESCO IN STORE RSP (From P9 Prom),AVAILABLE INSTORE (Y/N),TWC Normal Bott Price,TWC Price / (5%) or Prom Price,TWCF Show Bot Price (15%),TWCF Show Case Price (15%),Jay Was (Hide),Jay Was Roundown,Jay Now (Hide),Jay Now Rounddown,Jay Case,Stock 07/09/2012,Stock 10/09/2012,Case Size,Number of Fairs,ROS per Fair,Total Fair ROS,% Top Up,Min Cs Stk Required,Total Stk Value Required,Stock as of Wed 02_09 AM,Var to Min Req,Karla's Comments,Brandbank EAN _ Image URL,Brandbank Image Live,Brandbank Comment,Finest,NFS 17/10/2011,Stock 7:01 17.10.11,BWS Stock 17.10.11,BWS Held 17.10.11,BWS Orders 17.10.11,,Stock 7:01 19.10.11,BWS Stock 19.10.11,BWS Held 19.10.11,BWS Orders 19.10.11,Nick Exclusive Report,NFS,,
Copestick Murray,Michel Gonet Brut Reserve Champagne NV,Copestick Murray,L13,63063474,"030-10580 email from Vanessa, Copestick can't get the stock to us until 10th Sept",Michel Gonet Brut Reserve Champagne,0,0,0,876,,420,http://www.tesco.com/wine/product/details/default.aspx?searchBox=063063474&id=265590954,,,,,,,,,,,,,TWC,,,Champagne Michel Gonet,France,Champagne,Chardonnay,Pinot Noir,,#N/A,,Exclusive to Dot Com,N,£23.00 ,,£19.55 ,£117.30 ,23,23,17.25,17.25,103.5,73,146,6,5,,,,,,,,,,,,,,,,,,,,,,,63063474,0,,
Copestick Murray,Tero Pinot Grigio IGT Veneto 2011,Copestick Murray,L13,65906496,,Tero Pinot Grigio IGT Veneto,2011,2011,2011,324,2849,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=065906496&id=266599782,,,,,,,,,,,,Y,TWC,,,Vinicola Cide,Italy,Veneto,Pinot Grigio,,,#N/A,,Exclusive to Dot Com,N,£9.00 ,,£7.65 ,£45.90 ,9,9,6.75,6.75,40.5,24,0,6,5,,,,,,,,,,,,,,,,,,,,,,,65906496,0,,
Lanson International,Lanson Black Label Champagne NV,Champagne Lanson,L14,50601993,,Lanson Black Label Champagne,0,0,0,1278,5716,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=050601993&id=255245636,,,,,,,,,,,,,,,,Lanson International,France,Champagne,Chardonnay,Pinot Meunier,Pinot Noir,#N/A,32.99,,,£31.34 ,£21.84 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Lanson International,Lanson Gold Label Champagne Brut 2002,Champagne Lanson,L14,66879973,,Lanson Gold Label Champagne Brut ,2002,2002,2002,0,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066879973&id=267602328,,,,,,,,,,,,,TWBTC,,,Lanson International,France,Champagne,Chardonnay,Pinot Meunier,Pinot Noir,#N/A,44.99,Exclusive to Dot Com,N,£42.00 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,66879973,0,,
Lanson International,Lanson Rosé Champagne NV,Champagne Lanson,L14,50962357,,Lanson Rosé Champagne,0,0,0,4662,1972,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=050962357&id=255245659,,,,,,,,,,,,,,,,Lanson International,France,Champagne,Chardonnay,Pinot Meunier,Pinot Noir,#N/A,38.99,,,£37.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Lanson International,Tsarine Cuvee Premium Brut NV,Champagne Lanson,L14,71313991,,Tsarine Cuvee Premium Brut,0,0,0,810,5139,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071313991&id=272694723,,,,,71313991,25.99,20.99,09/03/2012,10/02/2012,,,,,,,Chanoine,France,Champagne,Chardonnay,Pinot Meunier,Pinot Noir,#N/A,26.99,25.99,,£25.99 ,£20.99 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Off-Piste Wines,Telegraph Station Pinot Noir 2011,Off-Piste Wines,L15,71376719,,Telegraph Station Pinot Noir,2011,2011,2011,876,733,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071376719&id=272854834,,,,,71376719,10.99,5,09/03/2012,10/02/2012,,,,,,,Kingston Estate,Australia,South Eastern Australia,Pinot Noir,,,#N/A,10.99,,,£10.44 ,£5.00 ,£4.25 ,£25.50 ,10.44,10.44,3.75,3.75,22.5,69,84,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,j
Off-Piste Wines,Telegraph Station Sauvignon Sémillon 2011,Off-Piste Wines,L15,71813128,MB NL,Telegraph Station Sauvignon Sémillon,2011,2011,2011,0,4193,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071813128&id=273676450,,,,,,,,,,,,,,,,Kingston Estate,Australia,South Eastern Australia,Sauvignon Blanc,Semillon,,#N/A,8.99,,,£8.99 ,,£7.64 ,£45.85 ,8.99,8.99,6.7425,6.74,40.44,90,179,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Off-Piste Wines,Telegraph Station Sémillon 2011,Off-Piste Wines,L15,71376679,,Telegraph Station Sémillon,2011,2011,2011,2286,286,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071376679&id=272854736,,,,,71376679,10.99,5,09/03/2012,10/02/2012,,,,,,,Kingston Estate,Australia,South Eastern Australia,Semillon,,,#N/A,10.99,,,£10.44 ,£5.00 ,£4.25 ,£25.50 ,10.44,10.44,3.75,3.75,22.5,84.5,60,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,j
Off-Piste Wines,Telegraph Station Shiraz Cabernet 2011,Off-Piste Wines,L15,71813186,MB NL,Telegraph Station Shiraz Cabernet,2011,2011,2011,114,1123,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071813186&id=273676634,,,,,,,,,,,,,,,,Kingston Estate ,Australia,South Eastern Australia,Shiraz,Cabernet Sauvignon,,#N/A,8.99,,,£8.99 ,,£7.64 ,£45.85 ,8.99,8.99,6.7425,6.74,40.44,69,138,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
